id;source;topic;type;question;options_or_pairs;correct;explanation;tags
SS2023-13;Original SS2023;Einführung IS;multiple_choice;Welche Aussagen über die Einführung eines ERP-Systems sind richtig?;"[{""id"": ""a"", ""text"": ""In der Prototypen-Phase der Einführung werden unter anderem Parametertests und Lasttests durchgeführt."", ""correct"": true}, {""id"": ""b"", ""text"": ""Oft scheitert die Einführung, weil im Vorfeld keine Analyse der bestehenden Geschäftsprozesse stattgefunden hat."", ""correct"": true}, {""id"": ""c"", ""text"": ""Ein Einführungs-Referenzmodell zeigt die einzelnen Schritte auf, die bei der Einführung durchzuführen sind."", ""correct"": false}, {""id"": ""d"", ""text"": ""Der Begriff Big-Bang-Umstellungsszenario beschreibt eine Einführung die explosionsartig schief gegangen ist."", ""correct"": false}]";"[""a"", ""b""]";;
SS2023-14;Original SS2023;Skalierbarkeit;multiple_choice;Welche Aussagen zur Skalierbarkeit von Systemen sind richtig?;"[{""id"": ""a"", ""text"": ""Ein System skaliert gut, wenn bei 2facher Eingabemenge die 4fache Rechnerleistung benötigt wird."", ""correct"": false}, {""id"": ""b"", ""text"": ""Ein System skaliert schlecht, wenn bei 4facher Eingabemenge die 2fache Rechnerleistung benötigt wird."", ""correct"": false}, {""id"": ""c"", ""text"": ""Das Verhalten von Softwaresystemen in Bezug auf den Ressourcenverbrauch bei steigenden Eingabemengen nennt man Skalierbarkeit."", ""correct"": true}, {""id"": ""d"", ""text"": ""Skalierbarkeit ist oft auch die Bezeichnung für die Erweiterungsmöglichkeit eines Systems."", ""correct"": true}]";"[""c"", ""d""]";;
SS2023-15;Original SS2023;Auswahl IS;multiple_choice;Was sind typische Fehler in der Auswahlphase für ein ERP-System?;"[{""id"": ""a"", ""text"": ""Unartikulierte oder verschwommene Zielsetzungen"", ""correct"": true}, {""id"": ""b"", ""text"": ""Schlechte Vertragsverhandlungen"", ""correct"": false}, {""id"": ""c"", ""text"": ""Lange Dauer des Auswahlprozesses"", ""correct"": true}, {""id"": ""d"", ""text"": ""Zu genaue Definition der Anforderungen"", ""correct"": false}]";"[""a"", ""c""]";;
SS2023-16;Original SS2023;Informationssysteme;multiple_choice;Was kann man bei der Einteilung von Informationssystemen über Entscheidungsstrukturen in Unternehmen sagen?;"[{""id"": ""a"", ""text"": ""Das mittlere und Top-Management vertraut auf Informationen, welche oft mittels Business Intelligence (BI) erstellt werden."", ""correct"": true}, {""id"": ""b"", ""text"": ""Je höher die Entscheidungsebene ist, umso unstrukturierter werden die Daten."", ""correct"": true}, {""id"": ""c"", ""text"": ""Decision Support Systeme werden vom operativen Management genutzt."", ""correct"": false}, {""id"": ""d"", ""text"": ""Business Intelligence (BI) optimiert die Produktion."", ""correct"": false}, {""id"": ""e"", ""text"": ""Im operativen Bereich spricht man von Online Transaction Processing (OLTP) Systemen."", ""correct"": true}]";"[""a"", ""b"", ""e""]";;
SS2023-17;Original SS2023;ECM;true_false;Information und Wissen ist neben Arbeit, Kapital und natürlichen Ressourcen in unserer heutigen Zeit der vierte Produktionsfaktor geworden. Vor allem in der Dienstleistungsbranche sind Informationen und Wissen entscheidend.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
SS2023-18;Original SS2023;Einführung IS;multiple_choice;Welche Aussagen zur Einführung von ERP-Systemen sind richtig?;"[{""id"": ""a"", ""text"": ""Geschäftsprozesse sollten vollständig im Vorfeld analysiert worden sein."", ""correct"": true}, {""id"": ""b"", ""text"": ""Laufende Änderungen in der Teamzusammensetzung beim Partner wirken sich negativ auf die Einführung aus."", ""correct"": true}, {""id"": ""c"", ""text"": ""Die Fachabteilungen müssen in der Einführung nicht involviert sein."", ""correct"": false}, {""id"": ""d"", ""text"": ""Der Nutzen und die Ziele der Einführung müssen von Beginn an klar sein und kommuniziert werden."", ""correct"": true}]";"[""a"", ""b"", ""d""]";;
SS2023-19;Original SS2023;Informationssysteme;multiple_choice;Was ist der Unterschied zwischen Informationssystemen und Anwendungssystemen?;"[{""id"": ""a"", ""text"": ""Das Anwendungssystem ist das Programm/die Software mit der zugehörigen Hardware und den zugehörigen Daten."", ""correct"": true}, {""id"": ""b"", ""text"": ""Es gibt keinen Unterschied. Anwendungssysteme sind Informationssysteme."", ""correct"": false}, {""id"": ""c"", ""text"": ""Erst wenn der Mensch das Anwendungssystem nutzt, die Informationen nutzt, wird es zum Informationssystem."", ""correct"": true}, {""id"": ""d"", ""text"": ""Erst wenn der Mensch das Informationssystem nutzt, die Informationen nutzt, wird es zum Anwendungssystem."", ""correct"": false}]";"[""a"", ""c""]";;
SS2023-20;Original SS2023;ECM;fill_blank;Enterprise Content Management (ECM) are the [1], methods and tools used to capture, manage, store, preserve, and deliver content and [2] related to [3]. ECM tools and strategies allow the management of an organization's unstructured [4] wherever it exists.;"[{""blank"": 1, ""answer"": ""strategies""}, {""blank"": 2, ""answer"": ""documents""}, {""blank"": 3, ""answer"": ""organizational processes""}, {""blank"": 4, ""answer"": ""information""}]";"[""strategies"", ""documents"", ""organizational processes"", ""information""]";;
SS2023-21;Original SS2023;Wirtschaftlichkeit;multiple_choice;Welche Aussage(n) über die Wirtschaftlichkeit von Informationssystemen sind korrekt?;"[{""id"": ""a"", ""text"": ""Das generelle Ziel bei der Einführung eines neuen Informationssystems sollte die Optimierung von geschäftskritischen Prozessen sein."", ""correct"": true}, {""id"": ""b"", ""text"": ""Die Effizienz eines Informationssystems kann in der Planungs- und Entscheidungsphase durch TEI und Nutzwertanalyse betrachtet werden."", ""correct"": true}, {""id"": ""c"", ""text"": ""Die Nutzwertanalyse wird auf Basis des Product Lifecycle gebildet und analysiert für das Unternehmen wichtige Kriterien jeder Phase."", ""correct"": true}, {""id"": ""d"", ""text"": ""Mithilfe der ROI-Berechnung wird ermittelt, ob die Investition in ein Informationssystem eine Rendite ergeben hat, d.h. wirtschaftlich war."", ""correct"": true}]";"[""a"", ""b"", ""c"", ""d""]";;
SS2023-22;Original SS2023;Einführung IS;multiple_choice;Wie kann bei der Einführung eines Informationssystems den Problemen mit Usern entgegen gewirkt werden, um indirekte Kosten zu vermeiden?;"[{""id"": ""a"", ""text"": ""Neuere Versionen einer Software haben immer eine bessere Usability, wodurch sich die User schneller zurecht finden."", ""correct"": false}, {""id"": ""b"", ""text"": ""Schulungspläne sollten bereits frühestmöglich angeboten werden, um die User schrittweise an die neue Software heranzuführen."", ""correct"": true}, {""id"": ""c"", ""text"": ""Solange die Integration mit Microsoft Office gewährleistet werden kann, ist die Eintrittsbarriere für jedes System als niedrig zu erachten."", ""correct"": false}, {""id"": ""d"", ""text"": ""Die Einführung eines neuen Informationssystems ist allein schon wegen der schnellen Gewöhnung der User auf ein bestehendes Modell zu überlegen."", ""correct"": false}]";"[""b""]";;
SS2023-23;Original SS2023;ERP;matching;Ordnen Sie die Aufgabenkategorie eines ERP-Systems der jeweiligen Tätigkeit zu!;"[{""left"": ""Erstellen von Auswertungen"", ""right"": ""Kennzahlenanalyse""}, {""left"": ""Automatisierung von Routinevorgängen - automatische Planung (Absatzmengen, Abfahrten, ...)"", ""right"": ""Disposition""}, {""left"": ""Überblick über Informationen schaffen"", ""right"": ""Kennzahlenbildung""}, {""left"": ""Datenhaltung für Geschäftsvorfälle (Aufträge, Avisos, ...)"", ""right"": ""Administration""}]";"{""Erstellen von Auswertungen"": ""Kennzahlenanalyse"", ""Automatisierung von Routinevorgängen - automatische Planung (Absatzmengen, Abfahrten, ...)"": ""Disposition"", ""Überblick über Informationen schaffen"": ""Kennzahlenbildung"", ""Datenhaltung für Geschäftsvorfälle (Aufträge, Avisos, ...)"": ""Administration""}";;
SS2023-24;Original SS2023;Auswahl IS;multiple_choice;Welche Aussagen zur Anbieterpräsentation sind richtig?;"[{""id"": ""a"", ""text"": ""Bei einer Anbieterpräsentation ermittelt man die Überdeckung zwischen Anforderungen und Standardkomponenten."", ""correct"": true}, {""id"": ""b"", ""text"": ""Bei einer Anbieterpräsentation sollte man als Anbieter nur die Standard-Module vorstellen."", ""correct"": false}, {""id"": ""c"", ""text"": ""Bei einer Anbieterpräsentation sollte man dem Anbieter im Vorfeld ausreichend Informationen zu den Anforderungen zur Verfügung stellen."", ""correct"": true}, {""id"": ""d"", ""text"": ""Bei einer Anbieterpräsentation sendet der Anbieter eine genaue Beschreibung seines Systems, welche man sich durchliest um den besten Anbieter auszuwählen."", ""correct"": false}]";"[""a"", ""c""]";;
SS2023-25;Original SS2023;ECM;matching;Ordnen Sie die Elemente den Schichten der Systemarchitektur von ECM-Systemen zu!;"[{""left"": ""Anwendungen/Enterprise Applications"", ""right"": ""Nützen ECM-Dienste""}, {""left"": ""Dienste/Enterprise Content Management"", ""right"": ""Eigentliche ECM-Funktionalitäten""}, {""left"": ""Repository/Infrastructure"", ""right"": ""Unterste Ebene auf der ECM-Dienste laufen/\""Betriebssystem\""""}]";"{""Anwendungen/Enterprise Applications"": ""Nützen ECM-Dienste"", ""Dienste/Enterprise Content Management"": ""Eigentliche ECM-Funktionalitäten"", ""Repository/Infrastructure"": ""Unterste Ebene auf der ECM-Dienste laufen/\""Betriebssystem\""""}";;
SS2023-26;Original SS2023;TCO;matching;Bestimmen Sie, ob die folgenden Kosten direkt oder indirekt sind!;"[{""left"": ""Anfänglicher Produktivitätsverlust"", ""right"": ""INDIREKT""}, {""left"": ""Lizenzkosten"", ""right"": ""DIREKT""}, {""left"": ""Ungeplante Downtime"", ""right"": ""INDIREKT""}, {""left"": ""Serviceverträge"", ""right"": ""DIREKT""}, {""left"": ""Datenkorrekturen/Datenreparaturen"", ""right"": ""INDIREKT""}, {""left"": ""Lernen im Arbeitsalltag"", ""right"": ""INDIREKT""}, {""left"": ""Hardware"", ""right"": ""DIREKT""}, {""left"": ""Technischer Support"", ""right"": ""DIREKT""}]";"{""Anfänglicher Produktivitätsverlust"": ""INDIREKT"", ""Lizenzkosten"": ""DIREKT"", ""Ungeplante Downtime"": ""INDIREKT"", ""Serviceverträge"": ""DIREKT"", ""Datenkorrekturen/Datenreparaturen"": ""INDIREKT"", ""Lernen im Arbeitsalltag"": ""INDIREKT"", ""Hardware"": ""DIREKT"", ""Technischer Support"": ""DIREKT""}";;
SS2023-27;Original SS2023;Integration;multiple_choice;Welche der folgenden Beispiele beschreiben die horizontale Integration eines Informationssystems?;"[{""id"": ""a"", ""text"": ""Das Informationssystem kumuliert Daten aus dem Controlling und liefert diese Daten an das Top-Management."", ""correct"": false}, {""id"": ""b"", ""text"": ""Das Informationssystem unterstützt die Bereiche Rechnungswesen und Controlling und vernetzt diese Bereiche."", ""correct"": true}, {""id"": ""c"", ""text"": ""Das Informationssystem kumuliert Daten aus dem Bereich Produktion und liefert diese Daten weiter an das Controlling."", ""correct"": false}, {""id"": ""d"", ""text"": ""Das Informationssystem unterstützt die Bereiche Vertrieb, Beschaffung und Produktion und vernetzt diese Bereiche."", ""correct"": true}]";"[""b"", ""d""]";;
SS2023-28;Original SS2023;Informationsmanagement;matching;Ordnen Sie die folgenden Begriffe den beiden Methoden zur Akquisition von Informationen zu!;"[{""left"": ""Literaturrecherche"", ""right"": ""Information Retrieval""}, {""left"": ""Website-Artikel verfassen"", ""right"": ""Information Creation""}, {""left"": ""Foto aufnehmen"", ""right"": ""Information Creation""}, {""left"": ""Suchmaschine"", ""right"": ""Information Retrieval""}, {""left"": ""Website Crawling"", ""right"": ""Information Retrieval""}, {""left"": ""Brieferstellung"", ""right"": ""Information Creation""}]";"{""Literaturrecherche"": ""Information Retrieval"", ""Website-Artikel verfassen"": ""Information Creation"", ""Foto aufnehmen"": ""Information Creation"", ""Suchmaschine"": ""Information Retrieval"", ""Website Crawling"": ""Information Retrieval"", ""Brieferstellung"": ""Information Creation""}";;
SS2023-29;Original SS2023;Informationssysteme;matching;Ordnen Sie die Entscheidungsstrukturen und zugehörigen Informationssysteme den jeweiligen Management-Ebenen eines Unternehmens zu!;"[{""left"": ""Semi-strukturiert"", ""right"": ""Taktisches Management""}, {""left"": ""Transaction Processing System"", ""right"": ""Operatives Management""}, {""left"": ""Management Information System"", ""right"": ""Taktisches Management""}, {""left"": ""Decision Support System"", ""right"": ""Strategisches Management""}, {""left"": ""Unstrukturiert"", ""right"": ""Strategisches Management""}, {""left"": ""Strukturiert"", ""right"": ""Operatives Management""}]";"{""Semi-strukturiert"": ""Taktisches Management"", ""Transaction Processing System"": ""Operatives Management"", ""Management Information System"": ""Taktisches Management"", ""Decision Support System"": ""Strategisches Management"", ""Unstrukturiert"": ""Strategisches Management"", ""Strukturiert"": ""Operatives Management""}";;
SS2023-30;Original SS2023;ERP;multiple_choice;Welche Aussagen zu Begriffen im Umfeld von ERP sind richtig?;"[{""id"": ""a"", ""text"": ""Eine Ressource im Sinne von ERP sind bspw. Bodenschätze, Fähigkeiten und Fertigkeiten von Mitarbeitern sowie Kundendaten."", ""correct"": true}, {""id"": ""b"", ""text"": ""Die langfristige Planung, auch strategische Planung genannt, hat mindestens einen Zeithorizont von über vier Jahren, unabhängig von der Branche."", ""correct"": false}, {""id"": ""c"", ""text"": ""ERP Systeme sind grundsätzlich für das gesamte Unternehmen gedacht."", ""correct"": true}, {""id"": ""d"", ""text"": ""Es gibt zwei Arten von Planung: Die indikative, die Verhaltensweisen vorschreibt, und die imperative, die Empfehlungen gibt."", ""correct"": false}]";"[""a"", ""c""]";;
SS2023-31;Original SS2023;Make or Buy;true_false;Sie sind ein kleines, junges Start-Up in Graz, welches Exit-the-Room Räume anbietet. Ihre beiden Entwickler haben die benötigten Ressourcen und Fähigkeiten, am Markt gibt es keine passende AR-Lösung und die Auslastung ist niedrig. Im Sinne der Make-or-Buy-Matrix ist Make definitiv die richtige Entscheidung.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
SS2023-32;Original SS2023;Dokument;multiple_choice;Welche Aussagen zur Definition des Begriffs Dokument sind richtig?;"[{""id"": ""a"", ""text"": ""Für Dokumente gibt es verschiedene Trägermedien. Auch Internet-Seiten können als Dokumente angesehen werden."", ""correct"": true}, {""id"": ""b"", ""text"": ""Ein Dokument ist ein als Beweis geltendes Schriftstück."", ""correct"": true}, {""id"": ""c"", ""text"": ""Bildet man ein logistisches Objekt auf einem Trägermedium ab, entsteht ein Dokument."", ""correct"": true}, {""id"": ""d"", ""text"": ""Zeichen, Daten und Informationen sind logistische Objekte die direkt austauschbar sind."", ""correct"": true}]";"[""a"", ""b"", ""c"", ""d""]";;
SS2023-33;Original SS2023;TEI;multiple_choice;Welche Aussagen zum TEI sind korrekt?;"[{""id"": ""a"", ""text"": ""Der Nutzen zeigt nur die Kostensenkungen der internen IT auf."", ""correct"": false}, {""id"": ""b"", ""text"": ""Bei der Flexibilität geht es um die aktuellen Anforderungen, welche auch in 10 Jahren noch gelten."", ""correct"": false}, {""id"": ""c"", ""text"": ""Total Economic Impact stellt die Kosten und Leistungen einer IT-Infrastruktur gegenüber."", ""correct"": true}, {""id"": ""d"", ""text"": ""Neben dem TCO wird auch noch der Nutzen, die Flexibilität und ein Risikofaktor eingerechnet."", ""correct"": true}]";"[""c"", ""d""]";;
SS2023-34;Original SS2023;Open Source;multiple_choice;Welche Aussagen zu OpenSource sind richtig?;"[{""id"": ""a"", ""text"": ""OpenSource Lösungen sind gesamtheitlich betrachtet immer teurer als ClosedSource Lösungen."", ""correct"": false}, {""id"": ""b"", ""text"": ""Wenn hinter einer OpenSource Lösung ein Unternehmen steht, sind trotzdem alle Features des Softwareprodukts unter der OpenSource Lizenz verfügbar."", ""correct"": false}, {""id"": ""c"", ""text"": ""Bevor man eine OpenSource Lösung einsetzt, sollte überprüft werden ob die Entwicklercommunity aktiv ist und mit der Weiterentwicklung der Lösung zu rechnen ist."", ""correct"": true}, {""id"": ""d"", ""text"": ""OpenSource Lösungen sind gesamtheitlich betrachtet immer billiger als ClosedSource Lösungen."", ""correct"": false}]";"[""c""]";;
SS2023-35;Original SS2023;Auswahl IS;multiple_choice;Welche Aussagen sind korrekt?;"[{""id"": ""a"", ""text"": ""Je personalisierter ein IS ist, desto einfacher ist die Änderung durch den Hersteller."", ""correct"": false}, {""id"": ""b"", ""text"": ""Je standardisierter ein IS ist, umso mehr Aufwand ist für die Erstellung der IT Anforderungen notwendig."", ""correct"": true}, {""id"": ""c"", ""text"": ""Je standardisierter ein IS ist, desto weniger Aufwand ist für die Erstellung der IT Anforderungen notwendig."", ""correct"": false}, {""id"": ""d"", ""text"": ""Je personalisierter ein IS ist, desto schwieriger und aufwändiger ist die Änderung durch den Hersteller."", ""correct"": true}]";"[""b"", ""d""]";;
SS2023-36;Original SS2023;Integration;matching;Ordnen Sie die Fragestellungen den Begrifflichkeiten der Dimensionen der Integration nach Mertens zu!;"[{""left"": ""Über wie viele Einzeletappen hinweg findet die Integration statt?"", ""right"": ""Reichweite""}, {""left"": ""Wie viele betriebliche Funktionen werden integriert?"", ""right"": ""Umfang""}, {""left"": ""Welche Prozesse werden mit dem ERP-System unterstützt?"", ""right"": ""Gegenstand""}, {""left"": ""Werden einzelne Funktionsbereiche oder einzelne Bearbeitungsstufen integriert?"", ""right"": ""Richtung""}]";"{""Über wie viele Einzeletappen hinweg findet die Integration statt?"": ""Reichweite"", ""Wie viele betriebliche Funktionen werden integriert?"": ""Umfang"", ""Welche Prozesse werden mit dem ERP-System unterstützt?"": ""Gegenstand"", ""Werden einzelne Funktionsbereiche oder einzelne Bearbeitungsstufen integriert?"": ""Richtung""}";;
SS2023-37;Original SS2023;Open Source;true_false;Sie finden ein OpenSource ERP-Produkt im Internet, welches vom Funktionsumfang Ihre Anforderungen abzudecken scheint. Es gibt keine eigenen Entwickler, kaum Community-Aktivität und keinen professionellen Support. Obwohl die Anforderungen scheinbar abgedeckt werden, ist es nicht ratsam dieses ERP-System einzuführen.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
SS2023-38;Original SS2023;ERP;true_false;In typischen Branchen, in denen viele Unternehmen ein ERP-System im Einsatz haben, kann man in der Regel trotzdem einen Wettbewerbsvorteil durch den Einsatz von ERP-Systemen erreichen.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
SS2023-39;Original SS2023;ERP;matching;Ordnen Sie die Systeme, deren Bezeichnung und Kurzbezeichnung sowie deren Beschreibung der jeweiligen Zeitepoche zu!;"[{""left"": ""1970 / MRP"", ""right"": ""Material Requirement Planning / System rein für die Materialbedarfsplanung""}, {""left"": ""1980 / MRP II"", ""right"": ""Manufacturing Resources Planning / Methode zur effektiven Planung aller Ressourcen im Fertigungsunternehmen""}, {""left"": ""1990 bis heute / ERP"", ""right"": ""Enterprise Resource Planning / Ganzheitliches Konzept zur Planung von Unternehmensressourcen""}]";"{""1970 / MRP"": ""Material Requirement Planning / System rein für die Materialbedarfsplanung"", ""1980 / MRP II"": ""Manufacturing Resources Planning / Methode zur effektiven Planung aller Ressourcen im Fertigungsunternehmen"", ""1990 bis heute / ERP"": ""Enterprise Resource Planning / Ganzheitliches Konzept zur Planung von Unternehmensressourcen""}";;
